system   D            wsystem.c:583  maybe_parent_dir                 [   0.00241] Also searching C:\Users\Administrator\Documents\GitHub\PROJECT-HY454-2012\bubble bobble\src\Bubble Bobble\
display  D   display_settings.c:191  debug_display_settings           [   0.19717] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.19719] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19720] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.19722] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19724] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19726] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19727] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19729] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19731] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19733] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.19734] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19736] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.19737] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19740] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.19741] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19743] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.19744] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19746] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.19748] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19750] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.19751] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19753] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.19755] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19757] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.19758] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19760] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.19761] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19764] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.19765] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19767] Score is : 598
